review,sentiment,processed_review
" In fact, it's hard to remember that the part of Ray Charles is being acted, and not played by the man himself.  	1
Ray Charles is legendary.  	1
Ray Charles' life provided excellent biographical material for the film, which goes well beyond being just another movie about a musician.  	1
Hitchcock is a great director.  	1
Ironically I mostly find his films a total waste of time to watch.  	0
Secondly, Hitchcock pretty much perfected the thriller and chase movie.  	1
It's this pandering to the audience that sabotages most of his films.  	0
Hence the whole story lacks a certain energy.  	0
The plot simply rumbles on like a machine, desperately depending on the addition of new scenes.  	0
There are the usual Hitchcock logic flaws.  	0
Mishima is extremely uninteresting.  	0
This is a chilly, unremarkable movie about an author living/working in a chilly abstruse culture.  	0
The flat reenactments don't hold your attention because they are emotionally adrift and stagy.  	0
And the rest of it just sits there being awful... with soldiers singing songs about the masculinity they pledge themselves to, hairsplitting about purity, the admiration of swords, etc.  	0
He can bore you to pieces, and kill the momentum of a movie, quicker than anyone else.  	0
Schrader has made a resume full of lousy, amateurish films.  	0
When I first watched this movie, in the 80s, I loved it.  	1
I was totally fascinated by the music, the dancing... everything.  	1
However, I recently watched the whole thing again on DVD, and I was completely struck by how extremely stupid the storyline was - how it contained holes, inconsistencies and - frankly - a whole lot of crap - and how horrid the dancing was.  	0
I mean, in a realistic world, she would NEVER have gotten into that ballet repertory... The whole thing was quite pathetic.  	0
The character developments also lacked in depth.  	0
Woa, talk about awful.  	0
Do not waste your time.  	0
It was just too horrible.  	0
The worst, sappiest dialogue... I could go on and on.  	0
But what really made it unwatchable was the direction.  	0
The poor actors.  	0
You can't even tell if they have any talent because they not only have pathetic lines to speak but the director gave them no action.  	0
If you check the director's filmography on this site you will see why this film didn't have a chance.  	0
This would not even be good as a made for TV flick.  	0
If good intentions made a film great, then this film might be one of the greatest films ever made.  	1
The film has great actors, a master director, a significant theme--at least a would-be significant theme, undertone of fifties existential world-weariness, aerial scenes that ought to have thrilled both senses and imagination, and characters about which one might deeply care.  	1
Regrettably, the film fails.  	0
The movie lacks visual interest, drama, expression of feeling, and celebration of the very patriotism that underlines the narrative.  	0
No actress has been worse used that June Allison in this movie.  	0
Yet, I enjoy watching it.  	1
Unfortunately, this is a bad movie that is just plain bad.  	0
Bad script, bad direction and horrible acting make this one plain bad!  	0
The dialogue sucked.  	0
The cinematography-if it can be called that-sucked.  	0
The soundtrack sucked.  	0
The acting sucked.  	0
The concert sequences just sucked.  	0
That was nice.  	1
That was funny.  	1
It was so funny.  	1
Overall, this movie was cheap trash.  	0
But this movie is not funny, considering the ridiculousness of it.  	0
I came out of it feeling angry.  	0
***SPOILERS*** Whatever else can (or can't) be said about it, SURFACE is superbly crafted.  	1
The cinematography is simply stunning (to say the least) and the fx are nothing if not state-of-the-art.  	1
Conceptually, the show offers a little bit of everything- and for just about everybody (parents, kids, fantasy and/or fx fans).  	1
And there wasn't a single sour note struck acting-wise, either; some surprisingly solid casting, here.  	1
All things considered, a job very well done.  	1
Thanks good a movie like this was done and released.  	1
One of the best mexican movies ever!, and one of the less understood, even by mexican themselves, no matter how identified the should have felt with it.  	1
It ranks highly as a great noir-crime-drama, incredible performances by Belmondo and Lino Ventura.  	1
The attention given to every character, and complex psychological portrayals, detailing loyalty, treachery, love, and hope, are tremendous.  	1
It is an excellent drama, an excellent thriller, and an excellent film.  	1
Up there with the best of Melville.  	1
Everything about this film is simply incredible.  	1
You truly take this journey through the eyes and soul of a child.  	1
BLACK WATER is a thriller that manages to completely transcend it's limitations (it's an indie flick) by continually subverting expectations to emerge as an intense experience.  	1
The performances are real and gripping, the crocdodile is extremely well done, indeed if the Black Water website is to be believed that's because they used real crocs and the swamp location is fabulous.  	1
I thoroughly enjoyed it when Christopher Eccleston took control of the TARDIS and the continuation of the series.  	1
I'm not sure what he was trying to do with this film.  	0
If it was to turn my good day feeling into a night of disturbing memories than I guess he succeeded.  	0
There is a lot of beautiful places.  	1
It was forced, like everything in this movie.  	0
Again, lame.  	0
Here's where the movie really pi**ed me off.  	0
And don't even get me started on the jerky camerawork.  	0
When I saw it in the theater I thought I was going to be sick.  	0
Summary: The witticisms weren't witty.  	0
The plot - well, I said I'd let that one go.  	0
The acting was bad.  	0
Really bad.  	0
Even Billy Bob couldn't rise above the script, which was worse.  	0
Camerawork - again, bad.  	0
Rating: 1 out of 10.  	0
An AMAZING finale to possibly the BEST trilogy of all time!  	1
Kieslowski never ceases to amaze me.  	1
He is one of my favourite directors, and one of the most talented directors in the history of cinema.  	1
His use of the colours of the French flag in the three films was nothing short of incredible, every shot, every scene was like a work of art.  	1
Three of the most visually appealing movies i've ever seen.  	1
And his subtle connections between the three films are awesome.  	1
I have to mention this and it is a huge SPOILER, i loved the ending, how all the characters of the three films were the remaining survivors of the ferry disaster, with Valentine and the young judge together, and the old man watching it on her TV, solidifying his happiness over the suffering which he dealt with for those many years.  	1
I couldn't think of a better way to end the film, but a smile on my face, great way to wrap up an amazing film and trilogy!  	1
I recommend this for EVERYONE who loves film, movies, anything...A Work of Art!  	1
10 out of 10 for both the movie and trilogy.  	1
I literally vomited while watching this film.  	0
I think i was one of the people who found this another one of roth's pearls.  	1
his performance, as awarded, was stunning.  	1
the story which was told so eloquently by Francis ford Coppola 25 years earlier, really unfolds gradually and leaves room for the characters to develop.  	1
In a most wonderful location lies a story of contrast.  	1
All in all a beautiful directed film from Nicola's roeg wih a sublime cast.  	1
I'm translating movies for a living and this is the first movie in my 5-year working experience that I found offensive to my intelligence.  	0
But when someone strives for greatness and poetry, but delivers a muddled (and often ridiculous) story, a bunch of disparate scenes, pretentious dialogue... Then you get the worst kind of a movie that some other reviewer very accurately defined as pretentious crap"".  ",0,fact hard remember part ray charles act played man ray charles legendary ray charles life provide excellent biographical material film go well beyond another movie musician hitchcock great director ironically mostly find films total waste time watch secondly hitchcock pretty much perfect thriller chase movie pander audience sabotage film hence whole story lack certain energy plot simply rumble like machine desperately depend addition new scene usual hitchcock logic flaw mishima extremely uninteresting chilly unremarkable movie author livingworking chilly abstruse culture flat reenactment dont hold attention emotionally adrift stagy rest sit awful soldier sing song masculinity pledge hairsplitting purity admiration sword etc bore piece kill momentum movie quicker anyone else schrader make resume full lousy amateurish film first watch movie love totally fascinated music dance everything however recently watch whole thing dvd completely strike extremely stupid storyline contain hole inconsistency frankly whole lot crap horrid dance mean realistic world would never get ballet repertory whole thing quite pathetic character development also lack depth woa talk awful waste time horrible worst sappy dialogue could go really make unwatchable direction poor actor cant even tell talent pathetic line speak director give action check director filmography site see film didnt chance would even good make tv flick good intention make film great film might one great film ever make film great actor master director significant themeat least wouldbe significant theme undertone fifties existential worldweariness aerial scene ought thrill sens imagination character one might deeply care regrettably film fails movie lack visual interest drama expression feel celebration patriotism underline narrative actress worse use june allison movie yet enjoy watch unfortunately bad movie plain bad bad script bad direction horrible act make one plain bad dialogue suck cinematographyif call thatsucked soundtrack suck act suck concert sequence suck nice funny funny overall movie cheap trash movie funny consider ridiculousness come feel angry spoiler whatever else cant say surface superbly craft cinematography simply stun say least fx nothing stateoftheart conceptually show offer little bit everything everybody parent kid fantasy andor fx fan wasnt single sour note strike actingwise either surprisingly solid casting thing consider job well do thanks good movie like do release one best mexican movie ever one less understood even mexican matter identify felt rank highly great noircrimedrama incredible performance belmondo lino ventura attention give every character complex psychological portrayal detail loyalty treachery love hope tremendous excellent drama excellent thriller excellent film best melville everything film simply incredible truly take journey eye soul child black water thriller manage completely transcend limitation indie flick continually subvert expectation emerge intense experience performance real grip crocdodile extremely well do indeed black water website believe thats use real crocs swamp location fabulous thoroughly enjoy christopher eccleston take control tardis continuation series im sure try film turn good day feel night disturb memory guess succeed lot beautiful place force like everything movie lame heres movie really pied dont even get start jerky camerawork saw theater thought go sick summary witticism werent witty plot well say id let one go act bad really bad even billy bob couldnt rise script bad camerawork bad rating amaze finale possibly best trilogy time kieslowski never cease amaze one favourite director one talented director history cinema use colour french flag three film nothing short incredible every shot every scene like work art three visually appeal movie ive ever see subtle connection three film awesome mention huge spoiler love end character three film remain survivor ferry disaster valentine young judge together old man watch tv solidify happiness suffer deal many year couldnt think good way end film smile face great way wrap amazing film trilogy recommend everyone love film movie anythinga work art movie trilogy literally vomit watch film think one people find another one roth pearl performance award stunning story tell eloquently francis ford coppola year earlier really unfolds gradually leave room character develop wonderful location lie story contrast beautiful direct film nicolas roeg wih sublime cast im translate movie live first movie year work experience find offensive intelligence someone strive greatness poetry delivers muddle often ridiculous story bunch disparate scene pretentious dialogue get bad kind movie reviewer accurately define pretentious crap
"To those who find this movie intelligent or even masterful, I can only say - it's your intelligence and your imagination you obviously used to try and make some sense of this pitiful attempt (it's in our human nature to try and make sense of things) .  ",0,find movie intelligent even masterful say intelligence imagination obviously use try make sense pitiful attempt human nature try make sense thing
"One more thing: I can tolerate political incorrectness very well, I'm all for artistic freedom and suspension of disbelief, but the Slavic female character was just too much.  ",0,one thing tolerate political incorrectness well im artistic freedom suspension disbelief slavic female character much
This is such a fun and funny movie.  ,1,fun funny movie
Highly entertaining at all angles.  ,1,highly entertaining angle
"It features an outlandish array of memorable, psychotic but lovable nuts.  ",1,feature outlandish array memorable psychotic lovable nut
"So for our enjoyment we get to see them run around, play games, and be dangerous.  ",1,enjoyment get see run around play game dangerous
It even has its sweet moments.  ,1,even sweet moment
The telephone repair man was really funny and his reactions to the nuts and bitchy boss were truly genuine.  ,1,telephone repair man really funny reaction nut bitchy bos truly genuine
All the characters in this film are tremendously well played.  ,1,character film tremendously well play
And I really did find them funny.  ,1,really find funny
This is actually a very smart movie.  ,1,actually smart movie
There is a brilliant twist ending.  ,1,brilliant twist end
